SlNo,Station,Agency,State,District,Tehsil,River,Basin,Tributary,Local_River,Latitude,Longitude,DateTime,Year,Discharge_m3_per_sec,Source_File
29957,ASHRAMAM,CWC,Tamil Nadu,Kanyakumari,AGASTHEESWARAM,Pazhayar,West flowing rivers from Tadri to Kanyakumari,-,Pazhayar,8.15833333,77.46,01-01-2021 8.00,2021,2.8,Tamil Nadu CWC
566,Alandurai,CWC,Tamil Nadu,Coimbatore,COIMBATORE SOUTH,Cauvery,Cauvery,Noyyal,Noyyal,10.95194444,76.78527778,01-01-2021 8.00,2021,0.967,Tamil Nadu CWC
16683,Ambasamudram,CWC,Tamil Nadu,Theni,THENI,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,Vaigai,9.92555556,77.51166667,01-01-2021 8.00,2021,15.048,Tamil Nadu CWC
6773,Annavasal,CWC,Puducherry,Karaikal,Karaikal,Cauvery,Cauvery,-,Nattar,10.975,79.75388889,01-01-2021 8.00,2021,0.177,Puducherry CWC
22166,Arcot,CWC,Tamil Nadu,Ranipet,Arcot,Duplicate-Palar,East flowing rivers between Pennar and Kanyakumari,-,Palar,12.91388889,79.33305556,01-01-2021 8.00,2021,6.218,Tamil Nadu CWC
63798,ELUNUTHIMANGALAM,CWC,Tamil Nadu,Erode,ERODE,Cauvery,Cauvery,Noyyal,Noyyal,11.03166667,77.8875,01-01-2021 8.00,2021,5.31,Tamil Nadu CWC
79855,HARUR,CWC,Tamil Nadu,Dharmapuri,HARUR,Duplicate-Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,Vaniyar,Vaniyar,11.90277778,78.33,01-01-2021 8.00,2021,1.013,Tamil Nadu CWC
121966,KUZHITHURAI,CWC,Tamil Nadu,Kanyakumari,Thovalai,Thambraparni,West flowing rivers from Tadri to Kanyakumari,-,Thambraparni,8.30222222,77.18861111,01-01-2021 8.00,2021,0,Tamil Nadu CWC
114171,Kukkalthurai,CWC,Tamil Nadu,Nilgiris,Kotagiri,Cauvery,Cauvery,Bhavani,Bhavani,11.48555556,76.8325,01-01-2021 8.00,2021,0.558,Tamil Nadu CWC
132750,MANIYAMPATTU,CWC,Tamil Nadu,Viluppuram,Chenji,Varahanadhi,East flowing rivers between Pennar and Kanyakumari,-,Varahanadhi,12.22638889,79.51472222,01-01-2021 8.00,2021,15.917,Tamil Nadu CWC
